pot,pair,type,height
I,1,Cross,23.5
I,1,Self,17.375
I,2,Cross,12
I,2,Self,20.375
I,3,Cross,21
I,3,Self,20
II,4,Cross,22
II,4,Self,20
II,5,Cross,19.125
II,5,Self,18.375
II,6,Cross,21.5
II,6,Self,18.625
III,7,Cross,22.125
III,7,Self,18.625
III,8,Cross,20.375
III,8,Self,15.25
III,9,Cross,18.25
III,9,Self,16.5
III,10,Cross,21.625
III,10,Self,18
III,11,Cross,23.25
III,11,Self,16.25
IV,12,Cross,21
IV,12,Self,18
IV,13,Cross,22.125
IV,13,Self,12.75
IV,14,Cross,23
IV,14,Self,15.5
IV,15,Cross,12
IV,15,Self,18
